Year: 2001, State: NE
S080 16152 : 2
S080 16453 : 2
S080 16962 : 2
S080 17372 : 2
S080 17718 : 2
S080 17719 : 2
S080 17922 : 2
S080 17975 : 2
S080 18494 : 2
S080 19045 : 2
S080 19243 : 2
S080 19679 : 2
S080 19900 : 2
S080 20310 : 2
S080 20705 : 2
S080 21180 : 2
S080 21735 : 2
S080 22067 : 2
S080 22249 : 2
S080 23113 : 2
S080 23457 : 2
S080 23722 : 2
S080 24007 : 2
S080 24347 : 2
S080 24856 : 2
S080 25059 : 2
S080 25461 : 2
S080 25704 : 2
S080 25908 : 2
S080 26193 : 2
S080 26369 : 2
S080 27140 : 2
S080 27264 : 2
S080 27265 : 2
S080 27367 : 2
S080 27675 : 2
S080 27992 : 2
S080 28566 : 2
S080 28726 : 2
S080 28830 : 2
S080 29038 : 2
S080 29139L : 2
S080 29139R : 2
S080 29338 : 2
S080 29906 : 2
S080 30013 : 2
S080 30465 : 2
S080 30569 : 2
S080 30781 : 2
S080 31210 : 4
S080 31211 : 4
S080 31414 : 2
S080 31619 : 2
S080 31817 : 2
S080 32019 : 2
S080 32219 : 2
S080 32417 : 2
S080 32617 : 2
S080 32815L : 2
S080 32815R : 2
S080 33011 : 2
S080 33114L : 2
S080 33114R : 2
S080 33218 : 2
S080 33318 : 2
S080 33515 : 2
S080 33615 : 2
S080 33815 : 2
S080 34015 : 2
S080 34214 : 2
S080 34413 : 2
S080 34513 : 2
S080 34714 : 2
S080 34812 : 2
S080 35113 : 2
S080 35213 : 2
S080 35312 : 2
S080 35313 : 2
S080 35415 : 2
S080 35714 : 2
S080 35815 : 2
S080 36014 : 2
S080 36212 : 2
S080 36314L : 2
S080 36314R : 2
S080 36413 : 2
S080 36616 : 2
S080 36915 : 2
S080 37114 : 2
S080 37312 : 2
S080 37512 : 2
S080 37612 : 2
S080 37811 : 2
S080 37911 : 2
S080 38012 : 2
S080 38211 : 2
S080 38312 : 2
S080 38413 : 2
S080 38614L : 2
S080 38614R : 2
S080 38814 : 2
S080 39012 : 2
S080 39112 : 2
S080 39213 : 2
S080 39312 : 2
S080 39516 : 2
S080 39562L : 2
S080 39562R : 2
S080 39680 : 2
S080 39714 : 3
S080 39730 : 2
S080 39730A : 2
S080 39731 : 2
S080 39904L : 2
S080 39904R : 2
S080 40066 : 2
S080 40105 : 3
S080 40106 : 3
S080 40141 : 2
S080 40202 : 2
S080 40350 : 2
S080 40429L : 2
S080 40429R : 2
S080 40476 : 2
S080 40577L : 2
S080 40577R : 2
S080 40677 : 2
S080 40777 : 2
S080 40877 : 2
S080 40977L : 2
S080 40977R : 2
S080 41134 : 2
S080 41238 : 2
S080 41341 : 2
S080 41444 : 2
S080 41673 : 2
S080 41814 : 2
S080 41953 : 2
S080 42094 : 2
S080 42235 : 2
S080 42350 : 2
S080 42626 : 2
S080 42966 : 2
S080 43087 : 2
S080 43297 : 2
S080 43418 : 2
S080 43555 : 2
S080 43776 : 2
S080 43922L : 2
S080 43922R : 2
S080 44066 : 2
S080 44207 : 3
S080 44292 : 2
S080 44324 : 2
S080 44342 : 2
S080 44459 : 2
S080 44507 : 2
S080 44508 : 2
S080 44537 : 2
S080 44602 : 5
S080 44606L : 3
S080 44606R : 3
S080 44625 : 6
S080 44725 : 2
S080 44827L : 2
S080 44827R : 2
S080 44846A : 3
S080 44846L : 3
S080 44846R : 3
S080 44927L : 2
S080 44927R : 2
S080 45028L : 2
S080 45028R : 2
S080 45103L : 2
S080 45103R : 2
S080 45180L : 2
S080 45180R : 2
S080 45231 : 2
S080 45266 : 4
S080 45283L : 2
S080 45283R : 2
S080 45298A : 4
S080 45298L : 2
S080 45298R : 2
S080 45303A : 3
S080 45303B : 3
S080 45308 : 5
S080 45314L : 2
S080 45314R : 2
S080 45316 : 2
S080 45337 : 4
S080 45361 : 2
S080 45389 : 2
S080 45413 : 3
S080 45433 : 4
S080 45461 : 2
S081 04546L : 2
S081 04546R : 2
S081 06204 : 2
S081 06208 : 2
S081 21468 : 2
S092 38092 : 2
S129 00008L : 2
S129 00008R : 2
S129 00038 : 2
S129 00039 : 2
S129 00123L : 2
S129 00123R : 2
S129 00150L : 2
S129 00150R : 2
S129 00201 : 2
S180 00079 : 2
S180 00164 : 2
S180 00205 : 2
S180 00206 : 2
S180 00255 : 2
S180 00283L : 2
S180 00283R : 2
S275 15848L : 2
S275 15848R : 2
S275 16065 : 2
S275 16407 : 2
S275 16499 : 2
S275 16648 : 2
S275 18525 : 2
S275 18910 : 2
S275 19041 : 2
S281 06890 : 2
S281 07202 : 2
S283 05820 : 2
S370 01654 : 2
S385 11769 : 2
S480 00019L : 2
S480 00019R : 2
S480 00022 : 4
S480 00062L : 2
S480 00062R : 2
S480 00088L : 2
S480 00088R : 2
S480 00131 : 2
S480 00180 : 2
S480 00188 : 2
S480 00209 : 2
S480 00216 : 2
S480 00224 : 2
S480 00231 : 4
S480 00233 : 2
S480 00234 : 2
S480 00235 : 3
S480 00236 : 3
S480 00237 : 3
S480 00242 : 2
S480 00243 : 3
S480 00247 : 3
S480 00273L : 3
S480 00273R : 3
S480 00310A : 4
S480 00310B : 4
S480 00310L : 7
S480 00310R : 7
S480 00345C : 3
S480 00345D : 3
S480 00345E : 4
S480 00345F : 3
S480 00345L : 7
S480 00345R : 7
S480 00378G : 2
S480 00378H : 2
S480 00378L : 8
S480 00378R : 8
S680 00017L : 2
S680 00017R : 6
S680 00083 : 2
S680 00083A : 2
S680 00083B : 2
S680 00184 : 2
S680 00302 : 2
S680 00303 : 2
S680 00402 : 2
S680 00459 : 2
S680 00460 : 2
S680 00532 : 2
S680 00604L : 2
S680 00604R : 2
S680 00654 : 2
S680 00713 : 2
S680 00761L : 2
S680 00761R : 2
S680 00836L : 2
S680 00836R : 2
S680 00986 : 2
S680 01092L : 2
S680 01092R : 2
S680 01150L : 2
S680 01150R : 2
S680 01210L : 2
S680 01210R : 2
S680 01305L : 2
S680 01305R : 2
S680 01343L : 2
S680 01343R : 2
SL10C00346 : 2
SL28B00317 : 2
U1045J3905 : 2
U1045W3905 : 2
U1145M3505 : 2
U135003700 : 2
U135003701 : 3
U142503430L : 4
U142503430R : 5
U142503445 : 3
U142512130P : 2
U142513020 : 2
U142522533 : 4
U177525120 : 4
U1775A5305 : 4
U182505530 : 2
U182522840 : 2
U1825A1005 : 2
U1825C5515 : 2
U1825K2205 : 2
U1825Q5505 : 3
Total count of Repeated records:  488
